date,connect time,close time,use time,user,ip,port
08-21,23:53:36,00:32:46,0:39:10,root,180.212.36.188,26977
08-22,09:51:28,10:08:33,0:17:5,root,180.212.39.214,1670
08-22,10:06:27,12:44:33,2:38:6,root,180.212.39.214,3340
08-22,10:08:35,12:49:04,2:40:29,root,180.212.39.214,3362
08-22,16:42:06,18:05:51,1:23:45,root,180.212.39.214,33080
08-22,16:47:27,18:05:27,1:18:0,dawson,180.212.39.214,33181
08-22,17:23:56,17:57:49,0:33:53,root,180.212.39.214,6940
08-22,18:06:43,18:20:10,0:13:27,root,180.212.39.214,26815
08-22,18:21:19,18:21:27,0:0:8,root,119.29.96.147,40266
08-22,18:22:14,18:22:24,0:0:10,root,211.159.185.38,44148
08-22,18:23:31,19:48:36,1:25:5,root,180.212.39.214,33136
08-22,19:49:12,20:48:59,0:59:47,root,180.212.39.214,34410
08-22,22:23:57,22:24:14,0:0:17,root,180.212.39.214,1507
08-22,22:24:07,22:24:12,0:0:5,dawson,180.212.39.214,1509
08-22,22:38:23,22:38:59,0:0:36,root,180.212.39.214,2009
08-22,22:44:13,23:00:37,0:16:24,root,180.212.39.214,2292
08-22,22:58:07,00:39:41,1:41:34,root,180.212.39.214,2933
08-22,23:00:51,00:39:37,1:38:46,root,180.212.39.214,2946
08-22,23:02:43,23:02:53,0:0:10,root,180.212.39.214,2974
08-22,23:04:45,23:04:53,0:0:8,root,180.212.39.214,3350
08-22,23:04:56,23:04:59,0:0:3,root,180.212.39.214,3419
08-22,23:15:04,23:15:08,0:0:4,dawson,180.212.39.214,1355
08-23,00:34:19,00:39:37,0:5:18,dawson,180.212.39.214,12830
08-23,09:11:30,10:23:07,1:11:37,root,180.212.38.158,1750
08-23,09:14:24,10:03:33,0:49:9,dawson,180.212.38.158,1865
08-23,09:14:27,09:14:31,0:0:4,root,180.212.38.158,1869
08-23,09:46:04,10:03:39,0:17:35,dawson,180.212.38.158,2553
08-23,09:55:02,09:56:40,0:1:38,root,180.212.38.158,2738
