date,log time,logout time,day use time, logon times
03-21,23:53:36,00:32:46,0:39:10,1
03-28,20:54:22,00:00:00,0:0:0,1
08-21,23:53:36,00:32:46,0:39:10,1
08-22,09:51:28,23:15:08,15:8:2,21
08-23,00:34:19,23:51:51,3:32:56,13
08-24,20:11:07,20:20:23,0:14:1,5
08-25,10:13:04,14:12:38,1:11:38,4
08-26,16:15:10,16:29:00,0:13:50,1
08-28,16:34:11,00:00:00,4:26:54,3
09-21,23:53:36,00:00:00,0:0:0,1
09-22,09:51:28,23:15:08,15:8:2,21
09-23,00:34:19,23:51:51,3:32:56,13
09-24,20:11:07,20:20:23,0:14:1,5
09-25,10:13:04,14:12:38,1:11:38,4
09-26,16:15:10,16:29:00,0:13:50,1
09-28,16:34:11,00:00:00,4:26:54,3
