登录日期,登录时间,注销时间,使用时间,登录次数
2019-05-10,04:20:18,23:50:35,19:30:17,191
2019-05-11,00:05:35,23:51:29,23:45:54,258
2019-05-12,00:03:40,19:23:44,19:20:4,180
2019-05-13,01:00:01,19:42:31,18:42:30,185
2019-05-14,00:59:26,19:17:16,18:17:50,213
2019-05-15,02:02:27,19:39:15,17:36:48,200
2019-05-16,00:14:36,23:50:50,23:36:14,357
2019-05-17,00:03:21,23:56:46,23:53:25,397
2019-05-18,00:04:11,19:53:04,19:48:53,301
2019-05-19,10:53:15,18:22:10,7:28:55,129
2019-05-20,01:42:04,12:41:34,10:59:30,210
2019-05-21,01:24:57,18:59:15,17:34:18,153
2019-05-22,01:04:58,19:00:48,17:55:50,213
2019-05-23,03:41:17,23:52:02,20:10:45,409
2019-05-24,00:04:02,23:52:02,23:48:0,469
2019-05-25,02:17:39,17:48:40,15:31:1,193
2019-05-26,02:19:12,19:08:50,16:49:38,207
2019-05-27,01:53:04,16:25:40,14:32:36,373
