类型,日期,时间,来源,分类,事件,用户,计算机
审核成功,2018-9-29,9:57:04,Security,登录/注销 ,576,chenhui,COMPUTER
审核成功,2018-9-29,9:57:04,Security,登录/注销 ,528,chenhui,COMPUTER
审核成功,2018-9-29,9:57:04,Security,登录/注销 ,552,SYSTEM,COMPUTER
审核成功,2018-9-29,9:57:04,Security,帐户登录 ,680,chenhui,COMPUTER
审核成功,2018-9-29,9:51:10,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:51:10,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,9:51:10,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:46:42,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:46:05,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,9:46:05,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,9:25:38,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:25:38,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,9:25:38,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:59:12,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:59:12,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:58:12,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:58:12,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:58:07,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:57:06,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:57:06,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:40:18,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:40:18,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:38:33,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:38:33,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:32:03,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:32:03,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:22:03,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:22:03,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,8:22:03,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:16:48,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,7:55:45,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,7:55:45,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,7:55:45,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,7:41:29,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,7:41:29,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,7:14:03,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,7:14:03,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:51:35,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:51:35,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:50:32,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:50:32,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:49:05,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,6:09:01,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,6:09:01,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,6:09:01,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,6:08:05,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:08:05,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:01:17,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:40:14,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:40:14,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,5:40:14,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:32:12,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:28:02,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:28:02,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:24:46,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:24:46,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:19:01,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:19:01,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:11:08,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:11:08,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,5:11:08,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:05:05,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:05:05,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,4:30:47,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,4:01:48,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,4:01:48,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:58:43,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:58:43,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,3:58:43,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:50:21,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:40:11,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:40:11,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:35:23,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:35:23,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:29:18,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:29:18,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,3:29:18,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:29:02,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:57:53,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:57:53,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:50:56,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:50:56,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,2:50:56,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:48:44,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:41:52,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:41:52,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:27:41,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:27:41,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,2:27:41,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:10:10,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,1:49:10,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,1:49:10,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,1:49:10,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,1:34:46,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,1:34:46,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
